TICKER,ELECTION_CYCLE,COMMITTEE_NAME,COMMITTEE_TYPE_FULL,PARTY_NAME_FULL,RECEIPT_AMOUNT
MSFT,2024,TURQUOISE PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,TOMORROW PAC,PAC - Nonqualified,Dark PAC,5000.000000
MSFT,2024,CANTWELL VICTORY FUND,PAC - Nonqualified,Democrat,5000.000000
MSFT,2024,MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,MAGGIE FOR NH,Senate,Democrat,5000.000000
MSFT,2024,FRENCH HILL FOR ARKANSAS,House,Republican,5000.000000
MSFT,2024,JASON SMITH FOR CONGRESS,House,Republican,5000.000000
MSFT,2024,AMERICA WORKS FEDERAL PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,AMERICAN SECURITY PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,HOOPS PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,BUILDING UP DEMOCRACY'S DREAM,PAC - Qualified,Republican,5000.000000
MSFT,2024,ADRIANO ESPAILLAT FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,TOMORROW IS MEANINGFUL PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,SCHAKOWSKY FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,NARRAGANSETT BAY PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,ROUGHRIDER PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,COLLINS VICTORY COMMITTEE,PAC - Nonqualified,Republican,5000.000000
MSFT,2024,COLE FOR CONGRESS,House,Republican,5000.000000
MSFT,2024,COMMON VALUES PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,HAWAII PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,BRIAN FITZPATRICK FOR ALL OF US,House,Republican,5000.000000
MSFT,2024,KEYSTONE AMERICA PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,VELVET HAMMER PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,AMERIPAC: THE FUND FOR A GREATER AMERICA,PAC - Qualified,Democrat,5000.000000
MSFT,2024,FOLLOW THE NORTH STAR FUND,PAC - Qualified,Democrat,5000.000000
MSFT,2024,NUTMEG PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,FRIENDS FOR GREGORY MEEKS,House,Democrat,5000.000000
MSFT,2024,THE PAC FOR AMERICA'S FUTURE,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Democrat,5000.000000
MSFT,2024,ENTERTAINMENT SOFTWARE ASSOCIATION PAC (ESA PAC),PAC - Qualified,Dark PAC,5000.000000
MSFT,2024,GEORGE WHITESIDES FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,WESTERMAN FOR CONGRESS,House,Republican,5000.000000
MSFT,2024,DR JOHN JOYCE FOR CONGRESS,House,Republican,5000.000000
MSFT,2024,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,PETE STAUBER FOR CONGRESS,House,Republican,5000.000000
MSFT,2024,AMERICAN INNOVATION POLITICAL ACTION COMMITTEE (AMI PAC),PAC - Qualified,Democrat,5000.000000
MSFT,2024,EMMER VICTORY COMMITTEE DBA REPUBLICAN CONGRESSIONAL VICTORY COMMITTEE,PAC - Nonqualified,Republican,5000.000000
MSFT,2024,JOBS OPPORTUNITY AND NEW IDEAS PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,JUNTOS PAC,PAC - Nonqualified,Dark PAC,5000.000000
MSFT,2024,REV UP PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,DAKOTA PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,EVERY VOTE PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,SHORE PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,BAKER PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,TEAM HAGERTY,Senate,Republican,5000.000000
MSFT,2024,BADLANDS PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,FRIENDS OF BENNIE THOMPSON,House,Democrat,5000.000000
MSFT,2024,HOUSE CONSERVATIVES FUND,PAC - Qualified,Republican,5000.000000
MSFT,2024,WORKING FOR OHIO,PAC - Qualified,Republican,5000.000000
MSFT,2024,TEAM AMERICA - BRINGING AMERICA TOGETHER PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,SENATE EAGLE PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,DONALD NORCROSS FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,FRIENDS OF DON BEYER,House,Democrat,5000.000000
MSFT,2024,RECLAIM AMERICA PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,DAKOTA-WILD AND WONDERFUL 2023 COMMITTEE,PAC - Nonqualified,Republican,5000.000000
MSFT,2024,SECURING PROGRESS ACROSS OUR NATION PAC (SPAN PAC),PAC - Qualified,Democrat,5000.000000
MSFT,2024,TEAM MORRISEY,PAC - Nonqualified,Republican,4916.980000
MSFT,2024,AMANDA EDWARDS FOR CONGRESS,House,Democrat,4800.000000
MSFT,2024,DISTRICTS FOR DEMOCRACY,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Democrat,4750.000000
MSFT,2024,VARGAS FOR CONGRESS,House,Democrat,4600.000000
MSFT,2024,LAUREN UNDERWOOD FOR CONGRESS,House,Democrat,4600.000000
MSFT,2024,BHALLA FOR CONGRESS,House,Democrat,4500.000000
MSFT,2024,JOSH GOTTHEIMER FOR CONGRESS,House,Democrat,4500.000000
MSFT,2024,DEMOCRATIC PARTY OF VIRGINIA,Party - Qualified,Democrat,4500.000000
MSFT,2024,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,House,Democrat,4500.000000
MSFT,2024,2024 THUNE REPUBLICAN SENATE VICTORY,PAC - Nonqualified,Republican,4500.000000
MSFT,2024,WHITEHOUSE VICTORY FUND 2024,PAC - Nonqualified,Democrat,4500.000000
MSFT,2024,ARMSTRONG FOR CONGRESS,House,Republican,4300.000000
MSFT,2024,JULIE JOHNSON FOR CONGRESS,House,Democrat,4300.000000
MSFT,2024,GILLIBRAND FOR SENATE,Senate,Democrat,4300.000000
MSFT,2024,"HURD FOR AMERICA, INC.",Presidential,Republican,4300.000000
MSFT,2024,VINDMAN FOR CONGRESS,House,Democrat,4300.000000
MSFT,2024,MONDAIRE FOR CONGRESS,House,Democrat,4300.000000
MSFT,2024,BOWMAN FOR CONGRESS,House,Democrat,4300.000000
MSFT,2024,SHARICE FOR CONGRESS,House,Democrat,4150.000000
MSFT,2024,TIM SHEEHY FOR MONTANA,Senate,Republican,4123.060000
MSFT,2024,JULIA LETLOW FOR CONGRESS,House,Republican,4000.000000
MSFT,2024,VERONICA ESCOBAR FOR CONGRESS,House,Democrat,4000.000000
MSFT,2024,FRIENDS OF HILARY FRANZ,House,Democrat,4000.000000
MSFT,2024,KAINE FOR COMMON GROUND PAC,PAC - Nonqualified,Democrat,4000.000000
MSFT,2024,NORMA TORRES FOR CONGRESS,House,Democrat,4000.000000
MSFT,2024,BYRON DONALDS FOR CONGRESS,House,Republican,4000.000000
MSFT,2024,EVERYDAY PEOPLE,Super PAC (Independent Expenditure-Only),Democrat,4000.000000
